date,course,applicant_count
2021-01-01,Bookkeeping NC II,8
2021-01-01,Carpentry NC II,6
2021-01-01,Computer Systems Servicing NC II,1
2021-01-01,Construction Painting NC II,0
2021-01-01,Cookery NC II,10
2021-01-01,Driving NC II,7
2021-01-01,Electrical Installation and Maintenance NC II,4
2021-01-01,Electronic Products Assembly and Servicing NC II,3
2021-01-01,HEO (Bulldozer) NC II,0
2021-01-01,HEO (Forklift) NC II,0
2021-01-01,HEO (Hydraulic Excavator) NC II,3
2021-01-01,HEO (Wheel Loader) NC II,2
2021-01-01,Landscape Installation and Maintenance (Softscape),1
2021-01-01,Machining NC I,1
2021-01-01,Machining NC II,3
2021-01-01,Masonry NC I,2
2021-01-01,Masonry NC II,4
2021-01-01,Organic Agriculture Production NC II,0
2021-01-01,Shielded Metal Arc Welding NC I,2
2021-01-01,Shielded Metal Arc Welding NC II,3
2021-01-01,Trainers Methodology Level I,2
2021-01-02,Bookkeeping NC II,5
2021-01-02,Carpentry NC II,1
2021-01-02,Computer Systems Servicing NC II,3
2021-01-02,Construction Painting NC II,1
2021-01-02,Cookery NC II,4
2021-01-02,Driving NC II,1
2021-01-02,Electrical Installation and Maintenance NC II,1
2021-01-02,Electronic Products Assembly and Servicing NC II,2
2021-01-02,HEO (Bulldozer) NC II,1
2021-01-02,HEO (Forklift) NC II,2
2021-01-02,HEO (Hydraulic Excavator) NC II,0
2021-01-02,HEO (Wheel Loader) NC II,1
2021-01-02,Landscape Installation and Maintenance (Softscape),2
2021-01-02,Machining NC I,0
2021-01-02,Machining NC II,1
2021-01-02,Masonry NC I,1
2021-01-02,Masonry NC II,0
2021-01-02,Organic Agriculture Production NC II,0
2021-01-02,Shielded Metal Arc Welding NC I,0
2021-01-02,Shielded Metal Arc Welding NC II,3
2021-01-02,Trainers Methodology Level I,0
2021-01-03,Bookkeeping NC II,2
2021-01-03,Carpentry NC II,3
2021-01-03,Computer Systems Servicing NC II,1
2021-01-03,Construction Painting NC II,0
2021-01-03,Cookery NC II,2
2021-01-03,Driving NC II,1
2021-01-03,Electrical Installation and Maintenance NC II,1
2021-01-03,Electronic Products Assembly and Servicing NC II,0
2021-01-03,HEO (Bulldozer) NC II,1
2021-01-03,HEO (Forklift) NC II,1
2021-01-03,HEO (Hydraulic Excavator) NC II,1
2021-01-03,HEO (Wheel Loader) NC II,1
2021-01-03,Landscape Installation and Maintenance (Softscape),0
2021-01-03,Machining NC I,1
2021-01-03,Machining NC II,0
2021-01-03,Masonry NC I,1
2021-01-03,Masonry NC II,3
2021-01-03,Organic Agriculture Production NC II,2
2021-01-03,Shielded Metal Arc Welding NC I,1
2021-01-03,Shielded Metal Arc Welding NC II,2
2021-01-03,Trainers Methodology Level I,1
2021-01-04,Bookkeeping NC II,9
2021-01-04,Carpentry NC II,7
2021-01-04,Computer Systems Servicing NC II,10
2021-01-04,Construction Painting NC II,7
2021-01-04,Cookery NC II,7
2021-01-04,Driving NC II,8
2021-01-04,Electrical Installation and Maintenance NC II,7
2021-01-04,Electronic Products Assembly and Servicing NC II,3
2021-01-04,HEO (Bulldozer) NC II,1
2021-01-04,HEO (Forklift) NC II,1
2021-01-04,HEO (Hydraulic Excavator) NC II,0
2021-01-04,HEO (Wheel Loader) NC II,1
2021-01-04,Landscape Installation and Maintenance (Softscape),2
2021-01-04,Machining NC I,2
2021-01-04,Machining NC II,3
2021-01-04,Masonry NC I,1
2021-01-04,Masonry NC II,5
2021-01-04,Organic Agriculture Production NC II,7
2021-01-04,Shielded Metal Arc Welding NC I,1
2021-01-04,Shielded Metal Arc Welding NC II,1
2021-01-04,Trainers Methodology Level I,0
2021-01-05,Bookkeeping NC II,6
2021-01-05,Carpentry NC II,7
2021-01-05,Computer Systems Servicing NC II,6
2021-01-05,Construction Painting NC II,4
2021-01-05,Cookery NC II,9
2021-01-05,Driving NC II,7
2021-01-05,Electrical Installation and Maintenance NC II,2
2021-01-05,Electronic Products Assembly and Servicing NC II,2
2021-01-05,HEO (Bulldozer) NC II,2
2021-01-05,HEO (Forklift) NC II,0
2021-01-05,HEO (Hydraulic Excavator) NC II,4
2021-01-05,HEO (Wheel Loader) NC II,0
2021-01-05,Landscape Installation and Maintenance (Softscape),2
2021-01-05,Machining NC I,1
2021-01-05,Machining NC II,0
2021-01-05,Masonry NC I,4
2021-01-05,Masonry NC II,2
2021-01-05,Organic Agriculture Production NC II,0
2021-01-05,Shielded Metal Arc Welding NC I,1
2021-01-05,Shielded Metal Arc Welding NC II,4
2021-01-05,Trainers Methodology Level I,0
2021-01-06,Bookkeeping NC II,3
2021-01-06,Carpentry NC II,0
2021-01-06,Computer Systems Servicing NC II,6
2021-01-06,Construction Painting NC II,3
2021-01-06,Cookery NC II,8
2021-01-06,Driving NC II,3
2021-01-06,Electrical Installation and Maintenance NC II,4
2021-01-06,Electronic Products Assembly and Servicing NC II,4
2021-01-06,HEO (Bulldozer) NC II,3
2021-01-06,HEO (Forklift) NC II,2
2021-01-06,HEO (Hydraulic Excavator) NC II,4
2021-01-06,HEO (Wheel Loader) NC II,0
