barangay,course_applied,age,sex,educational_attainment,employment_status,current_skill,desired_career,learner_classification,training_outcome
Alianza,Cookery NC II,47,Female,College Undergraduate,Wage Employed,Cooking,Hospitality,Returning Learner,Graduate
Abuanan,Bread and Pastry NC II,32,Female,College Undergraduate,Wage Employed,Baking,Hospitality,Returning Learner,Graduate
Poblacion,Electrical Installation and Maintenance NC II,28,Male,Senior High,Wage Employed,Electrical Repair,Construction,Experienced Worker,Graduate
Balingasag,Electrical Installation and Maintenance NC II,35,Female,Junior High,Unemployed,Computer Literacy,ICT,Returning Learner,Dropout
Bagroy,Masonry NC II,25,Female,Elementary Graduate,Wage Employed,Masonry,Construction,Experienced Worker,Graduate
Ma-ao,Bread and Pastry NC II,20,Male,Junior High,Underemployed,Baking,Hospitality,New Entrant,Dropout
Abuanan,Carpentry NC II,42,Male,Junior High,Underemployed,Carpentry,Construction,New Entrant,Graduate
Lag-asan,Computer Systems Servicing NC II,38,Female,Senior High,Underemployed,Computer Literacy,ICT,New Entrant,Dropout
Calumangan,Computer Systems Servicing NC II,47,Female,College Undergraduate,Wage Employed,Computer Literacy,ICT,Experienced Worker,Dropout
Abuanan,Carpentry NC II,39,Male,Senior High,Underemployed,Carpentry,Construction,New Entrant,Graduate
Mailum,Masonry NC II,39,Female,Senior High,Self-employed,Masonry,Construction,Returning Learner,Dropout
Balingasag,Computer Systems Servicing NC II,34,Male,Junior High,Unemployed,Computer Literacy,Business,New Entrant,Graduate
Bacong,Electrical Installation and Maintenance NC II,42,Female,Junior High,Unemployed,Electrical Repair,Construction,Experienced Worker,Graduate
Calumangan,Cookery NC II,26,Male,College Undergraduate,Self-employed,Cooking,Hospitality,Career Shifter,Graduate
Calumangan,Cookery NC II,35,Female,Senior High,Unemployed,Cooking,Hospitality,Returning Learner,Graduate
Ilijan,Driving NC II,40,Male,College Undergraduate,Underemployed,Driving,Transportation,Returning Learner,Graduate
Abuanan,Bread and Pastry NC II,20,Male,Senior High,Underemployed,Baking,Hospitality,New Entrant,Graduate
Poblacion,Computer Systems Servicing NC II,52,Male,College Graduate,Self-employed,Computer Literacy,ICT,Returning Learner,Graduate
Atipuluan,Cookery NC II,39,Male,Junior High,Underemployed,Cooking,Hospitality,Returning Learner,Graduate
Pacol,Carpentry NC II,26,Male,Junior High,Underemployed,Electrical Repair,Construction,Returning Learner,Graduate
Ma-ao,Cookery NC II,24,Male,College Undergraduate,Unemployed,Electrical Repair,Construction,Career Shifter,Dropout
Busay,Driving NC II,32,Male,College Undergraduate,Underemployed,Baking,Hospitality,New Entrant,Dropout
Alianza,Carpentry NC II,19,Male,Senior High,Self-employed,Carpentry,Construction,Experienced Worker,Graduate
Dulao,Electrical Installation and Maintenance NC II,37,Male,Senior High,Underemployed,Electrical Repair,Construction,Experienced Worker,Graduate
Sagasa,Masonry NC II,34,Male,Junior High,Underemployed,Masonry,Hospitality,New Entrant,Dropout
Lag-asan,Computer Systems Servicing NC II,26,Male,College Graduate,Unemployed,Computer Literacy,ICT,Returning Learner,Dropout
Mailum,Cookery NC II,25,Female,Elementary Graduate,Self-employed,Cooking,Hospitality,Experienced Worker,Dropout
Caridad,Masonry NC II,27,Female,Senior High,Self-employed,Masonry,Construction,Experienced Worker,Graduate
Lag-asan,Driving NC II,28,Male,Senior High,Underemployed,Driving,Transportation,Returning Learner,Graduate
Calumangan,Driving NC II,29,Male,College Undergraduate,Self-employed,Driving,Agriculture,Returning Learner,Graduate
Pacol,Masonry NC II,22,Male,Elementary Graduate,Underemployed,Masonry,Hospitality,Career Shifter,Dropout
Abuanan,Bread and Pastry NC II,47,Female,College Undergraduate,Unemployed,Baking,Hospitality,Experienced Worker,Graduate
Balingasag,Masonry NC II,26,Female,College Undergraduate,Unemployed,Masonry,Construction,Career Shifter,Dropout
Tabunan,Cookery NC II,25,Female,Elementary Graduate,Underemployed,Cooking,Hospitality,Career Shifter,Graduate
Tabunan,Electrical Installation and Maintenance NC II,25,Male,Junior High,Unemployed,Electrical Repair,Construction,Returning Learner,Graduate
Lag-asan,Cookery NC II,35,Female,Junior High,Underemployed,Cooking,Hospitality,New Entrant,Dropout
Lag-asan,Masonry NC II,28,Male,Junior High,Underemployed,Masonry,Transportation,Experienced Worker,Graduate
Busay,Driving NC II,42,Male,College Undergraduate,Unemployed,Baking,Transportation,Career Shifter,Graduate
Alianza,Computer Systems Servicing NC II,27,Female,Senior High,Underemployed,Computer Literacy,ICT,New Entrant,Dropout
Napoles,Bread and Pastry NC II,37,Female,College Undergraduate,Self-employed,Baking,Hospitality,Experienced Worker,Graduate
Lag-asan,Carpentry NC II,24,Male,Junior High,Underemployed,Carpentry,Construction,Career Shifter,Dropout
Pacol,Shielded Metal Arc Welding NC I,42,Male,Junior High,Unemployed,Welding,Construction,New Entrant,Dropout
Abuanan,Cookery NC II,47,Male,College Undergraduate,Underemployed,Cooking,Hospitality,New Entrant,Graduate
Calumangan,Bread and Pastry NC II,44,Male,College Undergraduate,Self-employed,Baking,Hospitality,Experienced Worker,Graduate
Atipuluan,Electrical Installation and Maintenance NC II,37,Male,Elementary Graduate,Wage Employed,Electrical Repair,Construction,Returning Learner,Graduate
Ma-ao,Driving NC II,33,Male,Junior High,Unemployed,Driving,Transportation,Career Shifter,Dropout
Lag-asan,Electrical Installation and Maintenance NC II,25,Male,Junior High,Underemployed,Electrical Repair,Construction,New Entrant,Graduate
Abuanan,Bread and Pastry NC II,35,Female,Senior High,Unemployed,Baking,Hospitality,New Entrant,Graduate
Taloc,Electrical Installation and Maintenance NC II,29,Male,Junior High,Unemployed,Electrical Repair,Transportation,New Entrant,Dropout
Ma-ao,Masonry NC II,27,Male,College Undergraduate,Underemployed,Masonry,Construction,New Entrant,Graduate
Caridad,Carpentry NC II,18,Female,Senior High,Self-employed,Carpentry,Construction,Returning Learner,Graduate
Abuanan,Carpentry NC II,32,Male,Senior High,Unemployed,Carpentry,Construction,Experienced Worker,Graduate
Pacol,Electrical Installation and Maintenance NC II,30,Male,College Undergraduate,Self-employed,Electrical Repair,Hospitality,Experienced Worker,Dropout
Poblacion,Cookery NC II,33,Male,Junior High,Unemployed,Cooking,Hospitality,Returning Learner,Graduate
Caridad,Electrical Installation and Maintenance NC II,23,Female,Elementary Graduate,Unemployed,Electrical Repair,Construction,New Entrant,Graduate
Lag-asan,Shielded Metal Arc Welding NC I,40,Male,Elementary Graduate,Unemployed,Welding,Construction,New Entrant,Dropout
Lag-asan,Shielded Metal Arc Welding NC I,35,Male,Junior High,Unemployed,Welding,Construction,New Entrant,Graduate
Balingasag,Electrical Installation and Maintenance NC II,51,Male,College Graduate,Self-employed,Electrical Repair,Construction,Experienced Worker,Graduate
Ilijan,Computer Systems Servicing NC II,39,Female,College Graduate,Self-employed,Computer Literacy,ICT,New Entrant,Dropout
Abuanan,Driving NC II,19,Male,College Undergraduate,Underemployed,Driving,Transportation,New Entrant,Graduate
Balingasag,Computer Systems Servicing NC II,34,Male,Senior High,Unemployed,Computer Literacy,ICT,New Entrant,Dropout
Calumangan,Electrical Installation and Maintenance NC II,20,Male,Junior High,Self-employed,Electrical Repair,Construction,Experienced Worker,Graduate
Alianza,Computer Systems Servicing NC II,29,Female,Elementary Graduate,Underemployed,Computer Literacy,ICT,New Entrant,Graduate
Abuanan,Computer Systems Servicing NC II,37,Male,College Undergraduate,Self-employed,Baking,Hospitality,New Entrant,Graduate
Abuanan,Bread and Pastry NC II,26,Female,Senior High,Unemployed,Baking,Hospitality,New Entrant,Graduate
Sagasa,Shielded Metal Arc Welding NC I,33,Male,Senior High,Underemployed,Welding,Construction,New Entrant,Graduate
Sagasa,Carpentry NC II,19,Male,Senior High,Self-employed,Carpentry,Construction,New Entrant,Dropout
Abuanan,Bread and Pastry NC II,42,Female,Junior High,Underemployed,Baking,Hospitality,New Entrant,Graduate
Bagroy,Driving NC II,42,Male,Junior High,Self-employed,Driving,Transportation,Experienced Worker,Graduate
Abuanan,Cookery NC II,20,Female,College Undergraduate,Underemployed,Baking,Hospitality,New Entrant,Graduate
Calumangan,Shielded Metal Arc Welding NC I,24,Male,Junior High,Underemployed,Welding,Construction,Returning Learner,Graduate
Busay,Computer Systems Servicing NC II,27,Male,Junior High,Self-employed,Electrical Repair,Construction,Career Shifter,Dropout
