barangay,course_applied,age,sex,educational_attainment,employment_status,current_skill,desired_career,learner_classification,training_outcome
Abuanan,Bookkeeping NC II,48,Male,College Graduate,Wage Employed,Bookkeeping,Business,Experienced Worker,Dropout
Atipuluan,Organic Agriculture Production NC II,44,Female,College Graduate,Underemployed,Organic Farming,Agriculture,Career Shifter,Graduate
Napoles,Construction Painting NC II,25,Male,Junior High,Underemployed,Painting,Construction,Experienced Worker,Graduate
Alianza,Carpentry NC II,40,Male,College Graduate,Underemployed,Carpentry,Construction,Returning Learner,Graduate
Caridad,Electrical Installation and Maintenance NC II,29,Male,Senior High,Underemployed,Electrical Repair,Construction,Returning Learner,Dropout
Bacong,Bread and Pastry NC II,30,Female,Senior High,Wage Employed,Baking,Hospitality,New Entrant,Graduate
Caridad,Driving NC II,26,Male,Junior High,Underemployed,Driving,Transportation,New Entrant,Graduate
Alianza,Machining NC I,44,Male,Senior High,Self-employed,Machining,Manufacturing,Experienced Worker,Graduate
Binubuhan,Organic Agriculture Production NC II,24,Male,Elementary Graduate,Wage Employed,Organic Farming,Agriculture,Experienced Worker,Graduate
Sagasa,Masonry NC I,39,Male,Senior High,Underemployed,Masonry,Construction,Returning Learner,Graduate
Lag-asan,Landscape Installation and Maintenance (Softscape),18,Male,Senior High,Self-employed,Landscaping,Transportation,Experienced Worker,Dropout
Ilijan,Electronic Products Assembly and Servicing NC II,36,Male,Senior High,Underemployed,Heavy Equipment Operation,Education,Experienced Worker,Dropout
Tabunan,HEO (Wheel Loader) NC II,39,Female,Senior High,Underemployed,Heavy Equipment Operation,Manufacturing,New Entrant,Graduate
Napoles,Landscape Installation and Maintenance (Softscape),24,Female,Senior High,Self-employed,Landscaping,Agriculture,Experienced Worker,Dropout
Caridad,Computer Systems Servicing NC II,55,Male,College Graduate,Self-employed,Computer Literacy,ICT,Experienced Worker,Graduate
Ma-ao,HEO (Wheel Loader) NC II,43,Female,Senior High,Underemployed,Heavy Equipment Operation,Construction,Returning Learner,Dropout
Pacol,Driving NC II,32,Male,College Undergraduate,Underemployed,Carpentry,Construction,New Entrant,Dropout
Atipuluan,Masonry NC II,23,Male,Junior High,Unemployed,Masonry,Construction,Career Shifter,Dropout
Pacol,Electronic Products Assembly and Servicing NC II,44,Male,College Undergraduate,Wage Employed,Electronics,Manufacturing,Experienced Worker,Graduate
Bacong,Cookery NC II,29,Female,Junior High,Underemployed,Cooking,Hospitality,Returning Learner,Graduate
Atipuluan,HEO (Wheel Loader) NC II,26,Male,Senior High,Self-employed,Heavy Equipment Operation,Construction,Experienced Worker,Dropout
Abuanan,Electrical Installation and Maintenance NC II,27,Male,College Graduate,Underemployed,Electrical Repair,Construction,New Entrant,Graduate
Ma-ao,Shielded Metal Arc Welding NC II,18,Male,Junior High,Underemployed,Welding,Construction,Returning Learner,Dropout
Bacong,Construction Painting NC II,41,Male,Senior High,Unemployed,Painting,Construction,Experienced Worker,Graduate
Sagasa,Landscape Installation and Maintenance (Softscape),33,Male,Senior High,Underemployed,Landscaping,Agriculture,Returning Learner,Graduate
Taloc,Electronic Products Assembly and Servicing NC II,40,Male,Elementary Graduate,Unemployed,Welding,Construction,Career Shifter,Dropout
Napoles,Shielded Metal Arc Welding NC II,18,Male,Junior High,Underemployed,Welding,Manufacturing,Career Shifter,Graduate
Sagasa,Bookkeeping NC II,26,Female,Senior High,Underemployed,Computer Literacy,ICT,Career Shifter,Dropout
Napoles,Carpentry NC II,42,Male,Senior High,Self-employed,Painting,Construction,New Entrant,Dropout
Atipuluan,Bookkeeping NC II,45,Female,Senior High,Unemployed,Bookkeeping,Business,Returning Learner,Dropout
Abuanan,HEO (Wheel Loader) NC II,27,Male,Senior High,Wage Employed,Heavy Equipment Operation,Construction,Experienced Worker,Graduate
Caridad,Organic Agriculture Production NC II,26,Female,Junior High,Wage Employed,Organic Farming,Agriculture,Career Shifter,Dropout
Busay,Driving NC II,36,Male,Junior High,Underemployed,Driving,Transportation,New Entrant,Dropout
Binubuhan,Organic Agriculture Production NC II,33,Male,Junior High,Underemployed,Organic Farming,Agriculture,New Entrant,Graduate
