month,barangay,age,gender,employment_status,educational_attainment,current_skill,work_experience,desired_career,applied_course
9,Ma-ao,18,Male,Self-employed,Junior High,Computer Literacy,Retail,ICT,Computer Systems Servicing NC II
2,Pacol,28,Male,Self-employed,Senior High,Welding,Construction,Construction,Shielded Metal Arc Welding NC I
10,Sagasa,33,Female,Unemployed,Junior High,Electrical Repair,Hospitality,Construction,Electrical Installation and Maintenance NC II
12,Mailum,29,Male,Underemployed,Junior High,Welding,Construction,Business,Shielded Metal Arc Welding NC I
1,Pacol,35,Male,Underemployed,Junior High,Driving,Government,Transportation,Driving NC II
3,Bagroy,30,Female,Self-employed,Senior High,Computer Literacy,Construction,ICT,Computer Systems Servicing NC II
3,Bagroy,20,Male,Underemployed,Junior High,Carpentry,Construction,Agriculture,Carpentry NC II
11,Busay,21,Female,Unemployed,Elementary Graduate,Computer Literacy,ICT,Business,Computer Systems Servicing NC II
10,Mailum,28,Female,Self-employed,College Graduate,Driving,Agriculture,Transportation,Driving NC II
1,Busay,29,Female,Unemployed,Elementary Graduate,Carpentry,Construction,Agriculture,Carpentry NC II
4,Ma-ao,35,Male,Underemployed,Junior High,Carpentry,Construction,Construction,Carpentry NC II
4,Ma-ao,25,Male,Underemployed,Junior High,Driving,Government,Transportation,Driving NC II
10,Sagasa,32,Male,Unemployed,Junior High,Welding,Retail,Hospitality,Shielded Metal Arc Welding NC I
12,Atipuluan,39,Male,Underemployed,Junior High,Driving,Transportation,Transportation,Driving NC II
11,Bacong,32,Female,Wage Employed,Senior High,Driving,Agriculture,Transportation,Driving NC II
5,Lag-asan,19,Male,Underemployed,Junior High,Driving,None,Transportation,Driving NC II
12,Lag-asan,24,Female,Underemployed,Senior High,Computer Literacy,Government,ICT,Computer Systems Servicing NC II
10,Bacong,20,Male,Underemployed,Senior High,Carpentry,Agriculture,Construction,Carpentry NC II
8,Mailum,26,Male,Wage Employed,College Undergraduate,Welding,Construction,Construction,Shielded Metal Arc Welding NC I
3,Calumangan,29,Female,Underemployed,Senior High,Driving,Agriculture,Business,Driving NC II
2,Bacong,21,Female,Self-employed,Elementary Graduate,Carpentry,Agriculture,Construction,Carpentry NC II
1,Poblacion,45,Male,Underemployed,Senior High,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
3,Ma-ao,39,Female,Unemployed,Junior High,Baking,Hospitality,Hospitality,Bread and Pastry NC II
10,Caridad,29,Female,Underemployed,Junior High,Computer Literacy,Agriculture,Business,Computer Systems Servicing NC II
5,Poblacion,48,Female,Unemployed,College Graduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
5,Caridad,25,Female,Self-employed,Junior High,Cooking,Hospitality,ICT,Cookery NC II
10,Alianza,25,Male,Unemployed,Junior High,Welding,Manufacturing,Construction,Shielded Metal Arc Welding NC I
12,Malingin,18,Male,Underemployed,Junior High,Carpentry,Agriculture,Construction,Carpentry NC II
5,Caridad,54,Male,Unemployed,College Graduate,Computer Literacy,Business,Business,Computer Systems Servicing NC II
11,Ma-ao,27,Male,Self-employed,Junior High,Driving,Retail,Transportation,Driving NC II
4,Poblacion,39,Male,Unemployed,Elementary Graduate,Masonry,Agriculture,Construction,Masonry NC II
7,Caridad,39,Male,Self-employed,College Undergraduate,Cooking,Business,Construction,Cookery NC II
2,Taloc,34,Male,Wage Employed,Junior High,Carpentry,Construction,Construction,Carpentry NC II
3,Dulao,34,Male,Underemployed,Elementary Graduate,Driving,Transportation,Transportation,Driving NC II
2,Tabunan,28,Male,Wage Employed,College Graduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
10,Malingin,28,Male,Unemployed,Junior High,Baking,Hospitality,Hospitality,Bread and Pastry NC II
7,Dulao,36,Male,Self-employed,College Graduate,Computer Literacy,Agriculture,ICT,Computer Systems Servicing NC II
3,Ma-ao,36,Male,Self-employed,Junior High,Carpentry,Agriculture,Construction,Carpentry NC II
12,Abuanan,32,Male,Unemployed,College Undergraduate,Welding,Manufacturing,Construction,Shielded Metal Arc Welding NC I
2,Dulao,19,Male,Self-employed,College Undergraduate,Driving,Transportation,Transportation,Driving NC II
10,Caridad,28,Male,Unemployed,College Undergraduate,Driving,Retail,Transportation,Driving NC II
1,Taloc,39,Female,Self-employed,Junior High,Baking,Business,Hospitality,Bread and Pastry NC II
3,Bagroy,39,Female,Unemployed,College Undergraduate,Carpentry,Agriculture,Construction,Carpentry NC II
10,Pacol,25,Female,Unemployed,Junior High,Baking,Business,Hospitality,Bread and Pastry NC II
4,Lag-asan,41,Male,Unemployed,College Undergraduate,Cooking,Retail,Hospitality,Cookery NC II
8,Ma-ao,22,Male,Unemployed,Junior High,Baking,Hospitality,Hospitality,Bread and Pastry NC II
3,Pacol,28,Male,Self-employed,Senior High,Carpentry,Retail,Construction,Carpentry NC II
1,Bacong,46,Male,Wage Employed,College Graduate,Carpentry,Construction,Construction,Carpentry NC II
8,Binubuhan,33,Male,Underemployed,College Undergraduate,Masonry,None,Construction,Masonry NC II
10,Ma-ao,25,Male,Unemployed,Elementary Graduate,Carpentry,Hospitality,Construction,Carpentry NC II
5,Ma-ao,41,Male,Self-employed,Senior High,Masonry,Construction,Construction,Masonry NC II
5,Malingin,38,Male,Unemployed,Junior High,Cooking,Business,Hospitality,Cookery NC II
10,Ma-ao,26,Male,Underemployed,College Graduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
4,Abuanan,49,Female,Self-employed,College Graduate,Computer Literacy,Government,ICT,Computer Systems Servicing NC II
10,Busay,33,Male,Underemployed,Senior High,Carpentry,None,Business,Carpentry NC II
1,Pacol,31,Male,Unemployed,Senior High,Cooking,Agriculture,Hospitality,Cookery NC II
8,Ma-ao,48,Male,Self-employed,College Graduate,Driving,Transportation,Transportation,Driving NC II
7,Abuanan,37,Male,Unemployed,College Graduate,Cooking,Retail,Business,Cookery NC II
8,Dulao,26,Male,Underemployed,Junior High,Driving,Hospitality,Transportation,Driving NC II
10,Caridad,39,Male,Unemployed,Senior High,Carpentry,Retail,Construction,Carpentry NC II
7,Caridad,24,Female,Self-employed,Elementary Graduate,Carpentry,Retail,Construction,Carpentry NC II
2,Busay,20,Female,Underemployed,College Undergraduate,Baking,Hospitality,Hospitality,Bread and Pastry NC II
6,Mailum,26,Male,Underemployed,Elementary Graduate,Electrical Repair,Manufacturing,Construction,Electrical Installation and Maintenance NC II
2,Balingasag,39,Male,Unemployed,College Undergraduate,Electrical Repair,Manufacturing,Construction,Electrical Installation and Maintenance NC II
7,Binubuhan,28,Male,Underemployed,College Undergraduate,Welding,Agriculture,Construction,Shielded Metal Arc Welding NC I
8,Mailum,32,Male,Underemployed,Senior High,Cooking,Retail,Business,Cookery NC II
7,Bacong,42,Female,Wage Employed,College Graduate,Computer Literacy,Government,ICT,Computer Systems Servicing NC II
5,Pacol,41,Female,Self-employed,Senior High,Carpentry,Retail,Business,Carpentry NC II
5,Mailum,22,Female,Self-employed,Senior High,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
3,Tabunan,47,Female,Wage Employed,College Undergraduate,Computer Literacy,ICT,Business,Computer Systems Servicing NC II
9,Taloc,25,Male,Underemployed,Senior High,Masonry,Construction,Construction,Masonry NC II
9,Abuanan,30,Male,Unemployed,College Undergraduate,Driving,Agriculture,Transportation,Driving NC II
9,Bacong,19,Male,Unemployed,Elementary Graduate,Masonry,Agriculture,Construction,Masonry NC II
5,Taloc,21,Male,Underemployed,Junior High,Baking,Hospitality,Business,Bread and Pastry NC II
8,Taloc,30,Female,Unemployed,College Undergraduate,Cooking,Hospitality,Hospitality,Cookery NC II
10,Poblacion,36,Male,Wage Employed,College Graduate,Baking,Hospitality,Hospitality,Bread and Pastry NC II
12,Alianza,21,Female,Unemployed,Junior High,Cooking,Hospitality,Hospitality,Cookery NC II
8,Lag-asan,41,Female,Underemployed,Junior High,Driving,Agriculture,Transportation,Driving NC II
10,Calumangan,29,Male,Unemployed,College Undergraduate,Driving,Retail,Transportation,Driving NC II
4,Napoles,38,Male,Wage Employed,Junior High,Baking,Retail,Hospitality,Bread and Pastry NC II
2,Bacong,22,Male,Underemployed,Senior High,Carpentry,Agriculture,Construction,Carpentry NC II
10,Taloc,26,Male,Unemployed,Junior High,Welding,Hospitality,Construction,Shielded Metal Arc Welding NC I
10,Ma-ao,22,Male,Unemployed,Junior High,Carpentry,Agriculture,Construction,Carpentry NC II
11,Bagroy,28,Female,Underemployed,Senior High,Cooking,Retail,Hospitality,Cookery NC II
1,Atipuluan,39,Male,Unemployed,Junior High,Masonry,Agriculture,Transportation,Masonry NC II
10,Mailum,54,Female,Wage Employed,College Graduate,Cooking,Hospitality,ICT,Cookery NC II
3,Ma-ao,24,Male,Unemployed,Junior High,Driving,Transportation,Transportation,Driving NC II
10,Ma-ao,32,Male,Underemployed,Junior High,Cooking,Hospitality,Hospitality,Cookery NC II
10,Binubuhan,29,Male,Underemployed,Elementary Graduate,Driving,Agriculture,Business,Driving NC II
